timestamp,target_url,status_code,response_time,ip,proxy,user_agent,profile,cookies_count,success
2025-05-07T19:24:47.731568,https://101firsat.com,200,60.81413197517395,192.168.1.103,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",unknown,22,True
2025-05-07T19:49:42.358124,https://101firsat.com,200,40.83148169517517,192.168.1.103,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0,unknown,22,True
2025-05-07T19:54:15.328198,https://101firsat.com,200,65.19992136955261,192.168.1.103,,"Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",unknown,22,True
2025-05-07T20:01:24.765162,https://101firsat.com,200,51.91536784172058,192.168.1.103,,"Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",unknown,22,True
2025-05-07T20:10:41.804381,https://101firsat.com,200,59.32154321670532,192.168.1.103,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",unknown,22,True
2025-05-07T20:35:18.830905,https://101firsat.com,200,58.025578022003174,192.168.1.103,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",unknown,22,True
2025-05-07T20:55:08.064564,https://hepsiburada.com,,38.95541524887085,192.168.1.103,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",unknown,19,False
2025-05-07T20:56:01.042713,https://hepsiburada.com,,6.62443733215332,192.168.1.103,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",unknown,21,False
2025-05-07T20:58:18.117696,https://101firsat.com,200,53.309935092926025,192.168.1.103,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0,unknown,22,True
2025-05-07T20:59:19.949510,https://101firsat.com,200,37.076494455337524,192.168.1.103,,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",unknown,22,True
2025-05-07T21:03:46.572533,https://101firsat.com,200,50.98822355270386,192.168.1.103,,"Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",unknown,22,True
2025-05-07T21:06:47.458263,https://101firsat.com,200,52.951446533203125,192.168.1.103,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",unknown,22,True
2025-05-07T21:11:16.681181,https://101firsat.com,200,36.92778253555298,192.168.1.103,,"Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",unknown,22,True
2025-05-07T21:23:11.331251,https://101firsat.com,200,47.67943000793457,192.168.1.103,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",unknown,22,True
2025-05-07T21:30:02.642311,https://101firsat.com,200,58.7637300491333,192.168.1.103,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",unknown,22,True
2025-05-07T21:45:53.397906,https://101firsat.com,200,33.2778582572937,192.168.1.103,,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",unknown,22,True
2025-05-07T23:58:18.744117,https://101firsat.com,,7.617148160934448,192.168.1.103,http://thiaegqt:tw81d23x9ist@207.244.217.165:6712,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",unknown,5,False
2025-05-07T23:58:27.980998,https://101firsat.com,,9.22288966178894,192.168.1.103,http://thiaegqt:tw81d23x9ist@107.172.163.27:6543,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",unknown,5,False
2025-05-07T23:58:35.987188,https://101firsat.com,,7.991198778152466,192.168.1.103,http://thiaegqt:tw81d23x9ist@45.151.162.198:6600,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",unknown,5,False
